total_max, total_mean, total_std, max_E2, mean_E2, std_E2,max_E5, mean_E5, std_E5, 
-74.15625005, -35.17434518, 26.50980858, -66.20394225, -24.81714123, 22.47558673, -74.15625005, -45.53154913, 26.18863410, 
-86.12668021, -51.60130610, 24.55430040, -66.20394225, -31.99564169, 18.36285288, -86.12668021, -71.20697051, 9.99343868, 
-31.34603965, -6.50734668, 10.08791852, -31.34603965, -3.18031646, 8.76322783, -30.36878822, -9.83437690, 10.22740328, 
-39.31982739, -11.81094882, 11.49755332, -31.34603965, -8.38743917, 8.97217061, -39.31982739, -15.23445848, 12.66675896, 
-39.72700044, -14.77142056, 11.53855815, -39.72700044, -11.61324336, 10.23557915, -39.31982739, -17.92959776, 11.89795786, 
-90.56140679, -30.97949351, 32.74511131, -48.24742736, -18.51549212, 13.88989885, -90.56140679, -70.72026569, 21.99774651, 
-90.56140679, -34.71986155, 32.66915181, -57.26020709, -23.91311481, 13.97155089, -90.56140679, -73.83105864, 21.84723926, 
-90.56140679, -37.12082148, 32.15506750, -66.17105438, -29.70011812, 14.81920363, -90.56140679, -74.62156039, 20.73593674, 
-90.56140679, -38.31159207, 32.84219863, -66.17105438, -30.59925272, 16.05209059, -90.56140679, -77.03313613, 19.32798479, 
-91.01103858, -38.75230324, 32.02080944, -66.17105438, -33.16730612, 16.08042516, -91.01103858, -75.26264744, 19.89819889, 
-92.33842158, -39.12890140, 31.22581146, -66.17105438, -36.12712854, 15.58213041, -92.33842158, -73.30516779, 20.40805465, 
-92.33842158, -39.47700133, 30.91666927, -66.17105438, -35.61399223, 16.05686920, -92.33842158, -73.32802927, 20.73481125, 
-92.33842158, -39.55426563, 31.37565719, -66.17105438, -33.16590067, 17.59288873, -92.33842158, -74.60973173, 20.88797433, 
-92.33842158, -39.34045414, 31.32032349, -66.17105438, -31.75139365, 19.05903152, -92.33842158, -73.96193567, 21.95747382, 
-92.33842158, -40.11934126, 31.82822288, -66.17105438, -30.72160294, 20.05998043, -92.33842158, -76.80600096, 18.57151569, 
-92.33842158, -40.05155408, 31.85636218, -66.17105438, -30.85122285, 20.54047820, -92.33842158, -76.46641414, 18.74594929, 
-92.33842158, -39.87727075, 31.69811962, -66.17105438, -30.72256800, 20.62882212, -92.33842158, -75.69030986, 19.89064597, 
-92.33842158, -40.12606719, 31.42904110, -66.21310262, -32.52411937, 20.84110246, -92.33842158, -74.89013827, 20.14992696, 
-92.33842158, -40.22129037, 32.64920345, -66.21310262, -32.01084653, 21.49242071, -92.33842158, -76.70926119, 20.06671863, 
-92.33842158, -40.46559317, 32.25595694, -66.21310262, -32.52551442, 21.06173467, -92.33842158, -76.28546764, 20.39221911, 
-92.33842158, -40.98433934, 31.86403467, -66.21310262, -33.81321692, 19.91503689, -92.33842158, -76.42750757, 19.83824166, 
-92.33842158, -41.51422077, 31.98441447, -75.18885901, -35.99579676, 20.85607659, -92.33842158, -76.21678641, 19.88608269, 
-92.33842158, -41.87023449, 31.88502117, -75.18885901, -35.99625915, 20.80118215, -92.33842158, -76.64695841, 19.79019408, 
-92.33842158, -41.74841656, 31.78200590, -75.18885901, -35.61136984, 20.98547604, -92.33842158, -76.40812115, 19.72214002, 
-92.33842158, -42.20261017, 31.79825723, -75.18885901, -36.12593244, 20.95743557, -92.33842158, -77.25318046, 18.39919126, 
-92.33842158, -42.24270542, 31.91580047, -75.18885901, -35.09733761, 21.48815062, -92.33842158, -77.64476381, 18.18567101, 
-92.33842158, -42.50809908, 31.58368286, -75.18885901, -35.61050715, 21.25703640, -92.33842158, -77.66503234, 17.41843978, 
-92.33842158, -42.88973222, 31.81001293, -75.24109823, -37.28444269, 20.34053585, -92.33842158, -78.16289202, 17.37097732, 
-92.33842158, -42.84956889, 31.86729241, -75.24109823, -37.79695249, 20.26848248, -92.33842158, -77.66090578, 18.50966206, 
-92.33842158, -42.99770080, 31.44448021, -75.24109823, -38.31304784, 19.95235041, -92.33842158, -77.08156901, 18.78689116, 
-92.33842158, -43.25499876, 31.76398652, -75.24109823, -37.80047224, 19.09568495, -92.33842158, -78.62415482, 17.72389293, 
-92.33842158, -43.86597034, 31.73958790, -75.24109823, -38.57165678, 18.83180207, -92.33842158, -79.67942257, 16.05376857, 
-92.33842158, -43.99930167, 31.60973686, -75.24109823, -38.18696051, 18.96826189, -92.33842158, -79.81958716, 16.04358306, 
-92.33842158, -44.02833234, 31.51699917, -75.24109823, -38.05962868, 18.99036517, -92.33842158, -79.77691262, 16.01968642, 
-92.33842158, -44.18201961, 32.19980731, -75.24109823, -37.28558013, 19.76691746, -92.33842158, -81.13734160, 15.23452951, 
-92.33842158, -44.30045728, 32.37458211, -75.24109823, -36.89950665, 19.81247933, -92.33842158, -81.75093460, 14.75042557, 
