gen,best,mean,std
0,-4.990366976778736,-5.615470490268942,0.3558135175031654
1,-4.59511985013459,-5.508787477980244,0.3730840801915084
2,-4.505545096516849,-5.52433135425665,0.43471975798753
3,-4.969813299576001,-5.51471702793157,0.32306040957925436
4,-4.932249276814924,-5.505342385422325,0.3485487169042194
5,-4.59511985013459,-5.515619981969776,0.3452011657682612
6,-4.505545096516849,-5.500899660367039,0.462879408946077
7,-4.59511985013459,-5.581196734532314,0.4004340341768917
8,-4.969813299576001,-5.585469515163313,0.29980509808213235
9,-4.59511985013459,-5.550673035306627,0.3991446361657866
10,-4.969813299576001,-5.606596432920255,0.2666215648001939
11,-4.59511985013459,-5.600837338705802,0.37202667623184593
12,-4.969813299576001,-5.551118244909196,0.3262537835301645
13,-4.59511985013459,-5.584140278535293,0.3907710880692937
14,-4.59511985013459,-5.528161147641478,0.3797263811099456
15,-4.834950365828125,-5.575218681006012,0.3635446090755135
16,-4.505545096516849,-5.518776698400577,0.4302480466878972
17,-4.59511985013459,-5.603168991251888,0.32650186839719275
18,-4.932249276814924,-5.53011523730247,0.3533637907896279
19,-4.59511985013459,-5.396472791816582,0.39688385812371096
20,-4.59511985013459,-5.456717541786096,0.3923589279980604
21,-4.533704728503383,-5.319982155754271,0.38104478676064385
22,-4.533704728503383,-5.367581960067342,0.6177554298757486
23,-4.533704728503383,-5.507988965829706,0.42918441638691057
24,-4.533704728503383,-5.271123691868215,0.48323306102151203
25,-4.533704728503383,-5.615634885412512,0.5355444102929514
26,-4.406864978874262,-5.399427445455676,0.6476130251412248
27,-4.312451559328199,-5.090480038961493,0.6114769859877182
28,-4.1754297617639065,-5.020469324836292,0.6925964292625598
29,-4.1754297617639065,-5.045259517004851,0.6387008815127206
30,-4.1754297617639065,-5.103385719922249,0.6474615214219034
31,-4.694106070259907,-5.548479464084618,0.6884914674128975
32,-4.59511985013459,-5.36500103091183,0.53834057016885
33,-4.1754297617639065,-5.072501233319599,0.517459990308961
34,-4.405189752161989,-5.048628935269848,0.5943406217940287
35,-4.405189752161989,-5.5063116364818985,0.6100855375829697
36,-4.468846331600541,-5.169623636948036,0.6869789588523936
37,-4.468846331600541,-5.44851123119777,0.7265072741071481
38,-4.479317631467836,-5.153685217887898,0.45806684374850604
39,-4.468846331600541,-5.349209786569782,0.5758663243602538
40,-4.468846331600541,-4.935579818429394,0.4693141155951243
41,-4.523341941467836,-5.190795733703184,0.5649245993756957
42,-4.2623084240894595,-5.0415796991003266,0.7392765158462733
43,-4.236530876814924,-5.429188850026039,0.7194182837961286
44,-4.236530876814924,-5.162185717572435,0.7069895053668707
